시,군,동,코드,터미널유무
전라북도,고창군,아산면,4579032036,1
전라북도,무주군,설천면,4573032024,1
전라북도,고창군,성송면,4579037026,1
전라북도,진안군,성수면,4572036021,1
전라북도,남원시,산내면,4519046023,1
전라북도,남원시,산내면,4519046027,1
전라북도,장수군,번암면,4574032028,1
전라북도,진안군,진안읍,4572025021,1
전라북도,순창군,복흥면,4577037031,1
전라북도,완주군,봉동읍,4571025328,1
전라북도,부안군,부안읍,4580025024,1
전라북도,군산시,비응도동,4513014800,1
전라북도,남원시,산내면,4519046023,1
전라북도,김제시,만경읍,4521025021,1
전라북도,남원시,산내면,4519046023,1
전라북도,무주군,무주읍,4573025022,1
전라북도,무주군,안성면,4573034021,1
전라북도,남원시,주천면,4519031023,1
전라북도,진안군,백운면,4572035027,1
전라북도,남원시,산내면,4519046027,1
전라북도,남원시,산내면,4519046022,1
전라북도,고창군,대산면,4579038025,1
전라북도,군산시,대야면,4513035022,1
전라북도,남원시,덕과면,4519039024,1
전라북도,고창군,신림면,4579042033,1
전라북도,고창군,신림면,4579042033,1
전라북도,전주시 덕진구,덕진동1가,4511310500,1
전라북도,순창군,복흥면,4577037022,1
전라북도,남원시,산내면,4519046023,1
전라북도,진안군,마령면,4572037021,1
전라북도,익산시,금마면,4514040021,1
전라북도,김제시,요촌동,4521010100,1
전라북도,남원시,동충동,4519010100,1
전라북도,남원시,도통동,4519011600,1
전라북도,부안군,진서면,4580037022,1
전라북도,정읍시,내장동,4518011900,1
전라북도,정읍시,내장동,4518011900,1
전라북도,순창군,복흥면,4577037036,1
전라북도,완주군,운주면,4571038021,1
전라북도,남원시,대산면,4519037026,1
전라북도,익산시,신흥동,4514012400,1
전라북도,임실군,관촌면,4575038026,1
전라북도,고창군,상하면,4579035024,1
전라북도,무주군,설천면,4573032030,1
전라북도,군산시,경암동,4513013600,1
전라북도,군산시,미룡동,4513014500,1
전라북도,무주군,부남면,4573035026,1
전라북도,순창군,금과면,4577034035,1
전라북도,남원시,아영면,4519045024,1
전라북도,임실군,강진면,4575039023,1
전라북도,순창군,팔덕면,4577035025,1
전라북도,순창군,팔덕면,4577035025,1
전라북도,완주군,경천면,4571041023,1
전라북도,완주군,경천면,4571041023,1
전라북도,장수군,계남면,4574035025,1
전라북도,장수군,계북면,4574036024,1
전라북도,완주군,고산면,4571036021,1
전라북도,고창군,고창읍,4579025021,1
전라남도,장흥군,회진면,4680037022,1
전라남도,해남군,산이면,4682041032,1
전라남도,영암군,학산면,4683038024,1
전라남도,해남군,북일면,4682036024,1
전라남도,해남군,화산면,4682032029,1
전라남도,영암군,서호면,4683037022,1
전라남도,화순군,화순읍,4679025031,1
전라남도,구례군,마산면,4673034024,1
전라남도,해남군,화원면,4682043021,1
전라남도,강진군,옴천면,4681039022,1
전라남도,장성군,장성읍,4688025024,1
전라남도,해남군,황산면,4682040025,1
전라남도,해남군,산이면,4682041029,1
전라남도,해남군,계곡면,4682038035,1
전라남도,해남군,현산면,4682033032,1
전라남도,무안군,해제면,4684036026,1
전라남도,영암군,군서면,4683036021,1
전라남도,영암군,신북면,4683033031,1
전라남도,여수시,돌산읍,4613025024,1
전라남도,무안군,현경면,4684034024,1
전라남도,해남군,현산면,4682033025,1
전라남도,해남군,현산면,4682033029,1
전라남도,영광군,홍농읍,4687025621,1
전라남도,강진군,군동면,4681031025,1
전라남도,강진군,병영면,4681038027,1
전라남도,해남군,마산면,4682039029,1
전라남도,영암군,영암읍,4683025024,1
전라남도,영암군,도포면,4683035022,1
전라남도,함평군,학교면,4686033027,1
전라남도,함평군,함평읍,4686025022,1
전라남도,영암군,시종면,4683034024,1
전라남도,해남군,해남읍,4682025021,1
전라남도,해남군,송지면,4682034033,1
전라남도,구례군,산동면,4673037028,1
전라남도,해남군,송지면,4682034031,1
전라남도,영암군,군서면,4683036029,1
전라남도,해남군,북평면,4682035024,1
전라남도,장성군,장성읍,4688025024,1
전라남도,영암군,삼호읍,4683025326,1
전라남도,강진군,작천면,4681037026,1
전라남도,영광군,군서면,4687034028,1
전라남도,구례군,용방면,4673036024,1
전라남도,영암군,금정면,4683032024,1
전라남도,강진군,칠량면,4681032023,1
전라남도,영암군,금정면,4683032031,1
전라남도,구례군,산동면,4673037021,1
전라남도,영암군,서호면,4683037030,1
전라남도,광양시,금호동,4623011000,1
전라남도,광양시,태인동,4623010900,1
전라남도,광양시,태인동,4623010900,1
전라남도,강진군,작천면,4681037022,1
전라남도,신안군,압해읍,4691025329,1
전라남도,영암군,영암읍,4683025029,1
전라남도,무안군,청계면,4684033023,1
전라남도,진도군,진도읍,4690025028,1
전라남도,강진군,대구면,4681033022,1
전라남도,화순군,청풍면,4679033031,1
전라남도,해남군,현산면,4682033028,1
전라북도,순창군,복흥면,4577037031,1
전라남도,화순군,춘양면,4679032021,1
전라남도,신안군,증도면,4691031021,1
전라남도,신안군,증도면,4691031021,1
전라남도,해남군,황산면,4682040027,1
전라남도,영암군,군서면,4683036024,1
전라남도,신안군,지도읍,4691025025,1
전라남도,구례군,산동면,4673037030,1
전라남도,진도군,진도읍,4690025025,1
전라남도,곡성군,입면,4672038029,1
전라남도,순천시,주암면,4615035025,1
전라남도,순천시,주암면,4615035023,1
전라남도,담양군,수북면,4671040030,1
전라남도,곡성군,죽곡면,4672035021,1
전라남도,광양시,중군동,4623010500,1
전라남도,광양시,중동,4623010600,1
전라남도,광양시,중동,4623010600,1
전라남도,영암군,삼호읍,4683025328,1
전라남도,신안군,증도면,4691031023,1
전라남도,신안군,증도면,4691031021,1
전라남도,신안군,증도면,4691031021,1
전라남도,무안군,몽탄면,4684032030,1
전라남도,무안군,삼향읍,4684025622,1
전라남도,신안군,지도읍,4691025024,1
전라남도,광양시,중동,4623010600,1
전라남도,영암군,도포면,4683035025,1
전라남도,순천시,조례동,4615013300,1
전라남도,순천시,조례동,4615013300,1
전라남도,보성군,조성면,4678037021,1
전라남도,영암군,시종면,4683034026,1
전라남도,해남군,북일면,4682036023,1
전라남도,강진군,옴천면,4681039025,1
전라남도,장성군,장성읍,4688025024,1
전라남도,장성군,장성읍,4688025031,1
전라남도,장성군,북이면,4688039021,1
전라남도,해남군,계곡면,4682038025,1
전라남도,영암군,영암읍,4683025033,1
전라남도,영암군,서호면,4683037025,1
전라남도,장흥군,장평면,4680034021,1
전라남도,해남군,해남읍,4682025032,1
전라남도,장흥군,장흥읍,4680025037,1
전라남도,장흥군,장흥읍,4680025023,1
전라남도,화순군,백아면,4679039534,1
전라남도,화순군,백아면,4679039530,1
전라북도,전주시 덕진구,인후동1가,4511310300,1
전라남도,곡성군,입면,4672038021,1
전라남도,영암군,금정면,4683032025,1
전라남도,신안군,지도읍,4691025029,1
전라남도,강진군,작천면,4681037032,1
전라남도,해남군,계곡면,4682038033,1
전라남도,신안군,증도면,4691031023,1
전라남도,장성군,장성읍,4688025024,1
전라남도,함평군,월야면,4686038025,1
전라남도,영암군,영암읍,4683025029,1
전라남도,영암군,학산면,4683038029,1
전라남도,장흥군,유치면,4680035036,1
전라남도,영암군,신북면,4683033031,1
전라남도,보성군,회천면,4678039021,1
전라남도,영암군,학산면,4683038029,1
전라남도,강진군,작천면,4681037025,1
전라남도,화순군,이양면,4679034029,1
전라남도,해남군,북평면,4682035022,1
전라남도,장성군,장성읍,4688025024,1
전라남도,장흥군,유치면,4680035034,1
전라남도,완도군,군외면,4689031024,1
전라남도,화순군,백아면,4679039526,1
전라남도,영암군,도포면,4683035021,1
전라남도,강진군,칠량면,4681032023,1
전라남도,담양군,월산면,4671039021,1
전라남도,장성군,장성읍,4688025024,1
전라남도,영암군,금정면,4683032029,1
전라남도,구례군,용방면,4673036024,1
전라남도,구례군,용방면,4673036021,1
전라남도,장흥군,용산면,4680031023,1
전라남도,장성군,장성읍,4688025024,1
전라남도,강진군,작천면,4681037021,1
전라남도,장성군,장성읍,4688025024,1
전라남도,해남군,문내면,4682042023,1
전라남도,신안군,증도면,4691031023,1
전라남도,고흥군,봉래면,4677036023,1
전라남도,곡성군,오산면,4672040021,1
전라남도,장성군,북일면,4688038023,1
전라남도,해남군,황산면,4682040033,1
전라남도,나주시,반남면,4617033021,1
전라남도,영암군,시종면,4683034034,1
충청북도,옥천군,옥천읍,4373025038,1
전라남도,강진군,옴천면,4681039026,1
전라남도,완도군,완도읍,4689025021,1
전라남도,영암군,도포면,4683035023,1
전라남도,나주시,이창동,4617012800,1
전라남도,영암군,삼호읍,4683025325,1
전라남도,나주시,삼영동,4617010400,1
전라남도,나주시,삼영동,4617010400,1
전라남도,영암군,영암읍,4683025025,1
전라남도,해남군,북평면,4682035025,1
전라남도,해남군,송지면,4682034026,1
전라남도,영암군,서호면,4683037026,1
전라남도,보성군,득량면,4678038023,1
전라남도,영암군,군서면,4683036022,1
전라남도,해남군,계곡면,4682038030,1
전라남도,여수시,덕충동,4613012600,1
전라남도,여수시,선원동,4613013500,1
전라남도,해남군,마산면,4682039028,1
전라남도,강진군,옴천면,4681039021,1
전라남도,영암군,금정면,4683032021,1
전라남도,영광군,염산면,4687036023,1
전라남도,영암군,도포면,4683035022,1
전라남도,영광군,영광읍,4687025039,1
전라남도,영암군,덕진면,4683031027,1
전라남도,장성군,장성읍,4688025024,1
전라남도,강진군,작천면,4681037027,1
전라남도,완도군,약산면,4689034022,1
전라남도,장성군,북하면,4688040025,1
전라남도,장성군,북하면,4688040025,1
전라남도,무안군,몽탄면,4684032023,1
전라남도,해남군,송지면,4682034028,1
전라남도,영암군,서호면,4683037024,1
전라남도,여수시,오림동,4613012100,1
전라남도,여수시,봉산동,4613011500,1
전라남도,영암군,시종면,4683034032,1
전라남도,장성군,북일면,4688038021,1
전라남도,목포시,상동,4611015800,1
전라남도,진도군,의신면,4690033029,1
전라남도,영암군,금정면,4683032022,1
전라남도,영암군,금정면,4683032026,1
전라남도,장성군,장성읍,4688025028,1
전라남도,해남군,화산면,4682032033,1
전라남도,신안군,암태면,4691042023,1
전라남도,신안군,압해읍,4691025326,1
전라남도,광양시,옥곡면,4623033024,1
전라남도,영암군,군서면,4683036025,1
전라남도,영암군,학산면,4683038028,1
전라남도,영암군,신북면,4683033030,1
전라남도,신안군,압해읍,4691025331,1
전라남도,순천시,별량면,4615039024,1
전라남도,영암군,서호면,4683037026,1
전라남도,영암군,시종면,4683034024,1
전라남도,고흥군,도양읍,4677025324,1
전라남도,순천시,장천동,4615011900,1
전라남도,순천시,대대동,4615013100,1
전라남도,순천시,풍덕동,4615011500,1
전라남도,순천시,대대동,4615013100,1
전라남도,순천시,매곡동,4615010700,1
전라남도,순천시,매곡동,4615010700,1
전라남도,순천시,조곡동,4615011100,1
전라남도,순천시,조곡동,4615011100,1
전라남도,영암군,시종면,4683034027,1
전라남도,함평군,신광면,4686032029,1
전라남도,해남군,옥천면,4682037033,1
전라남도,영암군,시종면,4683034025,1
전라남도,영암군,서호면,4683037022,1
전라남도,해남군,송지면,4682034030,1
전라남도,영암군,삼호읍,4683025323,1
전라남도,영암군,영암읍,4683025031,1
전라남도,해남군,송지면,4682034030,1
전라남도,영암군,시종면,4683034031,1
전라남도,곡성군,옥과면,4672037028,1
전라남도,담양군,수북면,4671040034,1
전라남도,영암군,군서면,4683036023,1
전라남도,광양시,성황동,4623010400,1
전라남도,영암군,금정면,4683032031,1
전라남도,영암군,삼호읍,4683025325,1
전라남도,영암군,금정면,4683032024,1
전라남도,영암군,시종면,4683034022,1
전라남도,함평군,손불면,4686031025,1
전라남도,신안군,압해읍,4691025329,1
전라남도,순천시,송광면,4615036023,1
전라남도,강진군,도암면,4681034031,1
전라남도,영암군,금정면,4683032023,1
전라남도,영암군,학산면,4683038029,1
전라남도,구례군,토지면,4673033025,1
전라남도,광양시,진월면,4623035021,1
전라남도,광양시,진월면,4623035025,1
전라남도,광양시,진월면,4623035025,1
전라남도,장성군,장성읍,4688025024,1
전라남도,영암군,서호면,4683037028,1
전라남도,강진군,병영면,4681038028,1
전라남도,강진군,작천면,4681037026,1
전라남도,장성군,삼서면,4688034025,1
전라남도,장성군,삼계면,4688035031,1
전라남도,영암군,신북면,4683033030,1
전라남도,해남군,송지면,4682034034,1
전라남도,영암군,군서면,4683036027,1
전라남도,해남군,북평면,4682035023,1
전라남도,곡성군,석곡면,4672033021,1
전라남도,강진군,군동면,4681031030,1
전라남도,영암군,금정면,4683032031,1
전라남도,목포시,옥암동,4611016400,1
전라남도,목포시,옥암동,4611016400,1
전라남도,영광군,불갑면,4687033026,1
전라남도,장성군,북하면,4688040025,1
전라남도,구례군,용방면,4673036023,1
전라남도,해남군,계곡면,4682038031,1
전라남도,장성군,삼계면,4688035021,1
전라남도,해남군,송지면,4682034027,1
전라남도,장성군,삼서면,4688034021,1
전라남도,영암군,삼호읍,4683025326,1
전라남도,강진군,병영면,4681038025,1
전라남도,보성군,보성읍,4678025028,1
전라남도,보성군,보성읍,4678025021,1
전라남도,보성군,보성읍,4678025021,1
전라남도,장흥군,장평면,4680034026,1
전라남도,보성군,복내면,4678035021,1
전라남도,곡성군,오산면,4672040021,1
전라남도,장흥군,장평면,4680034026,1
전라남도,강진군,대구면,4681033021,1
전라남도,영광군,영광읍,4687025021,1
전라남도,영암군,군서면,4683036027,1
전라남도,고흥군,동일면,4677045022,1
전라남도,장성군,북하면,4688040025,1
전라남도,영암군,신북면,4683033032,1
전라남도,해남군,현산면,4682033027,1
전라남도,보성군,벌교읍,4678025338,1
전라남도,영광군,대마면,4687031024,1
전라남도,담양군,수북면,4671040031,1
전라남도,해남군,송지면,4682034026,1
전라남도,여수시,덕충동,4613012600,1
전라남도,해남군,계곡면,4682038027,1
전라남도,나주시,반남면,4617033026,1
전라남도,장흥군,장동면,4680033025,1
전라남도,영암군,도포면,4683035023,1
전라남도,영암군,시종면,4683034028,1
전라남도,장성군,장성읍,4688025024,1
전라남도,영암군,군서면,4683036026,1
전라남도,곡성군,목사동면,4672034021,1
전라남도,곡성군,목사동면,4672034021,1
전라남도,목포시,상동,4611015800,1
전라남도,무안군,청계면,4684033023,1
전라남도,영암군,서호면,4683037021,1
전라남도,영암군,서호면,4683037028,1
전라남도,영암군,군서면,4683036024,1
전라남도,강진군,마량면,4681040024,1
전라남도,영암군,삼호읍,4683025322,1
전라남도,무안군,망운면,4684035021,1
전라남도,영암군,학산면,4683038030,1
전라남도,영암군,삼호읍,4683025323,1
전라남도,광양시,진상면,4623034022,1
전라남도,담양군,담양읍,4671025033,1
전라남도,무안군,삼향읍,4684025622,1
전라남도,광양시,광영동,4623010800,1
전라남도,여수시,봉산동,4613011500,1
전라남도,영암군,도포면,4683035025,1
전라남도,고흥군,도화면,4677034027,1
전라남도,영암군,학산면,4683038027,1
전라남도,광양시,중동,4623010600,1
전라남도,광양시,중동,4623010600,1
전라남도,영암군,금정면,4683032029,1
전라남도,나주시,중앙동,4617011500,1
전라남도,담양군,대전면,4671041021,1
전라남도,영암군,삼호읍,4683025325,1
전라남도,장성군,장성읍,4688025024,1
전라북도,순창군,복흥면,4577037026,1
전라남도,함평군,신광면,4686032026,1
전라남도,장성군,장성읍,4688025024,1
전라남도,여수시,소라면,4613031021,1
전라남도,장성군,장성읍,4688025024,1
전라남도,화순군,도암면,4679037025,1
전라남도,강진군,도암면,4681034030,1
전라남도,담양군,담양읍,4671025023,1
전라남도,담양군,금성면,4671037024,1
전라남도,담양군,금성면,4671037024,1
전라남도,완도군,약산면,4689034025,1
전라남도,여수시,남산동,4613011600,1
전라남도,장흥군,대덕읍,4680025622,1
전라남도,영암군,삼호읍,4683025330,1
전라남도,여수시,돌산읍,4613025021,1
전라남도,장성군,장성읍,4688025024,1
전라남도,화순군,백아면,4679039535,1
전라남도,고흥군,도양읍,4677025324,1
전라남도,고흥군,도양읍,4677025324,1
전라남도,진도군,군내면,4690031022,1
전라남도,영암군,영암읍,4683025034,1
전라남도,화순군,능주면,4679035023,1
전라남도,나주시,다시면,4617036022,1
전라남도,장성군,장성읍,4688025024,1
전라남도,강진군,군동면,4681031025,1
전라남도,해남군,황산면,4682040028,1
전라남도,무안군,삼향읍,4684025622,1
전라남도,무안군,삼향읍,4684025622,1
전라남도,해남군,북평면,4682035021,1
전라남도,영암군,서호면,4683037028,1
전라남도,영암군,시종면,4683034034,1
전라남도,강진군,대구면,4681033021,1
전라남도,영암군,덕진면,4683031023,1
전라남도,구례군,산동면,4673037021,1
전라남도,영암군,시종면,4683034031,1
전라남도,영암군,금정면,4683032024,1
전라남도,광양시,금호동,4623011000,1
전라남도,영암군,금정면,4683032026,1
전라남도,고흥군,봉래면,4677036024,1
전라남도,고흥군,고흥읍,4677025027,1
전라남도,나주시,중앙동,4617011500,1
전라남도,나주시,빛가람동,4617013400,1
전라남도,강진군,병영면,4681038021,1
전라북도,전주시 완산구,남노송동,4511112100,1
전라남도,구례군,구례읍,4673025022,1
전라남도,무안군,청계면,4684033026,1
전라남도,해남군,삼산면,4682031027,1
전라남도,장성군,장성읍,4688025024,1
전라남도,장성군,장성읍,4688025028,1
전라남도,강진군,군동면,4681031023,1
전라남도,영암군,군서면,4683036030,1
전라남도,장성군,장성읍,4688025024,1
전라남도,영암군,서호면,4683037029,1
전라남도,광양시,광양읍,4623025032,1
전라남도,광양시,금호동,4623011000,1
전라남도,광양시,다압면,4623036022,1
전라남도,광양시,금호동,4623011000,1
전라남도,광양시,도이동,4623010300,1
전라남도,광양시,광영동,4623010800,1
전라남도,광양시,광영동,4623010800,1
전라남도,순천시,주암면,4615035033,1
전라남도,순천시,황전면,4615033024,1
전라남도,강진군,대구면,4681033029,1
전라남도,완도군,고금면,4689033022,1
전라남도,영암군,삼호읍,4683025330,1
전라남도,고흥군,고흥읍,4677025028,1
전라남도,곡성군,곡성읍,4672025021,1
전라남도,순천시,송광면,4615036031,1
전라남도,고흥군,도양읍,4677025324,1
전라남도,장흥군,관산읍,4680025321,1
전라남도,영암군,학산면,4683038027,1
전라남도,영암군,신북면,4683033031,1
전라남도,광양시,광양읍,4623025031,1
전라남도,영암군,삼호읍,4683025328,1
전라남도,장성군,북하면,4688040028,1
전라남도,강진군,군동면,4681031022,1
전라남도,장성군,장성읍,4688025024,1
전라남도,강진군,강진읍,4681025026,1
전라남도,영암군,영암읍,4683025029,1
전라남도,영암군,군서면,4683036026,1
전라남도,구례군,산동면,4673037032,1
전라남도,영암군,학산면,4683038026,1
경상북도,포항시 북구,흥해읍,4711325024,1
경상북도,포항시 북구,송라면,4711333027,1
경상북도,예천군,개포면,4790039028,1
경상북도,봉화군,소천면,4792035022,1
경상북도,군위군,효령면,4772032042,1
경상북도,포항시 남구,효자동,4711111400,1
경상북도,예천군,유천면,4790037056,1
경상북도,울진군,후포면,4793038022,1
경상북도,청도군,운문면,4782035036,1
경상북도,청도군,풍각면,4782032041,1
경상북도,문경시,흥덕동,4728010300,1
경상북도,문경시,흥덕동,4728010300,1
경상북도,상주시,화서면,4725041021,1
경상북도,청송군,현서면,4775034043,1
경상북도,상주시,화북면,4725042021,1
경상북도,상주시,화북면,4725042021,1
경상북도,군위군,삼국유사면,4772038022,1
경상북도,청송군,안덕면,4775035033,1
경상북도,청도군,화양읍,4782025021,1
경상북도,포항시 남구,대잠동,4711111600,1
경상북도,경주시,양남면,4713032021,1
경상북도,경산시,하양읍,4729025021,1
경상북도,문경시,농암면,4728037027,1
경상북도,예천군,풍양면,4790041026,1
경상북도,상주시,함창읍,4725025021,1
경상북도,구미시,해평면,4719034021,1
경상북도,영양군,청기면,4776032043,1
경상북도,예천군,용궁면,4790038025,1
경상북도,청도군,청도읍,4782025336,1
경상북도,울진군,평해읍,4793025321,1
경상북도,포항시 남구,상도동,4711110100,1
경상북도,포항시 북구,흥해읍,4711325024,1
경상북도,포항시 남구,동해면,4711132021,1
경상북도,청도군,풍각면,4782032033,1
경상북도,안동시,풍산읍,4717025022,1
경상북도,의성군,춘산면,4773035029,1
경상북도,봉화군,춘양면,4792034021,1
경상북도,청도군,이서면,4782034038,1
경상북도,의성군,금성면,4773037037,1
경상북도,안동시,태화동,4717012200,1
경상북도,청도군,화양읍,4782025037,1
경상북도,청도군,운문면,4782035036,1
경상북도,청도군,화양읍,4782025033,1
경상북도,경산시,평산동,4729012500,1
경상북도,상주시,화남면,4725047024,1
경상북도,청도군,풍각면,4782032043,1
경상북도,포항시 남구,오천읍,4711125627,1
경상북도,칠곡군,가산면,4785033039,1
경상북도,상주시,청리면,4725034023,1
경상북도,성주군,성주읍,4784025021,1
경상북도,안동시,풍천면,4717034021,1
경상북도,의성군,춘산면,4773035029,1
경상북도,포항시 북구,죽장면,4711335024,1
경상북도,포항시 북구,죽장면,4711335024,1
경상북도,경산시,백천동,4729010600,1
경상북도,문경시,농암면,4728037030,1
경상북도,김천시,지례면,4715042021,1
경상북도,예천군,지보면,4790040022,1
경상북도,청도군,매전면,4782037052,1
경상북도,청도군,운문면,4782035039,1
경상북도,경주시,감포읍,4713025023,1
경상북도,문경시,모전동,4728011000,1
경상북도,문경시,흥덕동,4728010300,1
경상북도,청도군,운문면,4782035041,1
경상북도,포항시 북구,죽장면,4711335028,1
경상북도,영양군,일월면,4776033032,1
경상북도,구미시,도량동,4719010300,1
경상북도,청송군,주왕산면,4775031524,1
경상북도,울진군,죽변면,4793037022,1
경상북도,울진군,죽변면,4793037022,1
경상북도,경주시,외동읍,4713025921,1
경상북도,경주시,외동읍,4713025921,1
경상북도,영양군,입암면,4776031034,1
경상북도,영천시,자양면,4723036028,1
